STATE,blkgrp_med,avg_hh_s_1,commuter_1,hh_type1_h,hh_type1_t,affordability_score
710,86599.23808,1.9,1.04803,30.8633,18.5811,0.0005773260347932394
710,45322.32853,2.2,1.11916,28.48352,18.90733,0.001056864478161204
710,61314.65885,2.85,1.27983,29.74011,22.53258,0.0008598556062567855
710,45012.37401,1.98,0.53197,26.61776,19.16034,0.001022980296638918
710,127125.7965,4.28,1.79783,37.02553,21.57389,0.000464260404758351
710,73498.16538,1.61,0.85871,24.43164,18.10049,0.0005859396629261442
710,61689.22694,2.69,1.26306,28.91274,21.55626,0.0008257282763974486
710,40779.42175,3.46,1.01293,28.50903,20.30845,0.0012042896202975246
710,80163.48428,3.98,1.39785,29.35463,20.88371,0.0006310798370023746
710,55503.11591,2.75,1.1569,29.77438,20.65527,0.0009161709225757036
710,50584.7438,2.41,1.6573,27.6986,20.49648,0.00096635373981172
710,54615.09606,3.59,1.74812,26.96575,21.89281,0.0009035139561041407
710,101109.235,1.6,0.6758,24.08314,17.04684,0.0004109649825755284
710,57671.60213,2.56,1.00099,23.89689,16.88364,0.000713896271269584
710,46318.62423,3.7,2.44376,24.42258,17.27375,0.0009144659708662439
710,96735.00213,2.16,1.00498,32.94076,18.20545,0.0005335346811607965
710,89187.55991,1.89,1.29215,28.01206,14.95703,0.0004894490587333891
710,42613.26878,2.01,1.22277,25.67281,19.76251,0.0010805006187460582
710,59891.21418,2.43,1.22373,28.79865,17.80339,0.0007865199134387058
710,53247.20572,4.42,0.95458,29.04803,21.8979,0.000960837242705773
710,0.0,0.0,0.0,0.0,0.0,
710,83709.62209,2.46,0.85503,31.5943,20.74686,0.000629422661997968
710,62701.18234,2.89,0.8899,26.75198,20.71204,0.0007618986132731438
710,41124.64338,2.08,0.83126,28.97071,17.26383,0.0011339717599459758
710,68306.49518,3.44,1.4165,25.17055,18.7564,0.0006491143066113022
710,74939.87619,2.27,1.27891,29.54551,19.01417,0.0006554998349773885
710,48407.14171,2.91,1.08894,23.94886,17.48961,0.0008637708137377856
710,64648.14123,1.59,0.56022,23.25623,15.3502,0.0006026278386572183
710,37459.34317,3.13,0.91396,13.66097,16.61928,0.0008161448496642181
710,76912.0147,3.2,0.85126,30.00414,21.96466,0.0006791503116092472
710,0.0,0.0,0.0,0.0,0.0,
710,97634.06226,3.48,1.80034,21.58036,16.93753,0.00039981158395836026
710,89497.44833,2.71,1.69893,31.76259,20.27761,0.0005884761233070833
710,81779.95404,1.35,0.96774,28.04586,17.12726,0.000561139523531633
710,30923.4232,2.91,0.69271,22.31639,18.00161,0.0013114991962965962
710,74689.83721,2.94,1.61809,27.01763,20.4458,0.0006428424875703291
710,43064.44448,3.3,1.12211,28.79891,20.94793,0.0011630679076005425
710,47804.36992,2.49,1.3355,24.97736,18.42217,0.0009190765500110602
710,41695.31831,2.18,1.16667,24.97028,19.88627,0.0010886526728801614
710,61532.03147,4.24,1.38482,27.65661,21.90297,0.0008107352755757478
710,43858.69173,2.71,1.14051,23.09189,18.5621,0.0009593273474170723
710,39997.45049,2.45,1.80052,26.86213,19.59321,0.0011798313528570351
710,59177.52479,2.76,1.12863,26.46533,19.32173,0.0007806339328482663
710,90174.78624,2.09,0.7083,28.57673,19.81604,0.0005404134742480216
710,55000.0,2.58,0.89791,35.41733,22.95013,0.0010675543114869628
710,54827.05549,4.09,1.57786,23.63473,17.94366,0.0007653917297953328
710,41053.0207,2.82,1.1294,28.41038,17.81039,0.0011356354699107612
710,76043.35357,2.14,1.40117,27.77511,21.01921,0.0006502747447997458
710,58190.15246,2.9,1.41987,20.88739,16.85216,0.000656969585551548
710,58957.96741,2.01,1.64871,25.56742,18.9297,0.0007686386712791747
710,62821.15899,2.7,1.63632,25.04123,17.30593,0.0006837378541723788
710,122675.6198,2.37,1.71547,29.853,21.90999,0.00042785043262703296
710,48676.16846,1.99,0.95482,23.04792,17.72153,0.0008474220619711064
710,131854.2066,1.07,0.21348,29.65679,20.92005,0.00038509468395444874
710,48938.1652,3.37,0.97346,27.91142,20.99422,0.0010052379432918467
710,47357.35839,2.83,1.01863,27.13615,19.99787,0.0010028844839318036
710,55691.8006,2.13,1.22082,29.36473,19.70005,0.0008912970023378533
710,77019.78429,2.05,0.96174,28.35779,20.10711,0.0006353437875022467
710,102276.2179,1.46,0.78736,34.05257,15.17488,0.00048659149402544423
710,63117.08811,1.59,0.86704,24.90682,19.78547,0.0007167250507067258
710,53454.76414,2.16,1.26208,28.11883,17.79022,0.0008697699268586895
710,141282.38,3.04,1.08381,29.83381,21.54827,0.0003662069993963042
710,86431.8317,1.73,0.99581,27.17679,15.20761,0.0004970392489872803
710,64534.0,3.92,1.20127,26.31002,18.77745,0.000703410859834683
710,66007.45562,1.96,0.66164,29.33681,21.80321,0.0007798754086951039
710,203932.0307,2.29,0.84244,30.22081,19.85256,0.0002473434288675361
710,97872.19934,2.24,1.31571,24.12727,17.76204,0.00043400149196764007
710,36713.01349,3.81,1.05117,23.00542,16.83092,0.0010925890801287987
710,66267.51482,2.86,1.14713,29.0679,20.29669,0.0007509816014795651
710,62777.16877,2.75,1.18546,30.01585,17.34892,0.0007613571510169328
710,68453.00064,2.56,1.32142,28.46307,21.29934,0.0007344979652815991
710,105529.8986,1.87,1.43745,29.86832,18.38264,0.00046450958912957953
710,47380.35057,2.81,1.34408,28.2508,17.22242,0.0009698438220039854
710,41337.52213,1.0,1.12043,28.91342,20.54844,0.0012236410745890057
710,68587.31527,3.71,1.39514,30.00957,20.68464,0.0007446020932074341
710,91875.59586,4.13,2.13957,30.53575,22.30828,0.0005808080501745618
710,26337.17105,2.76,0.64129,14.52599,14.64863,0.0011165577120430847
710,58961.56832,1.98,0.80312,24.61944,17.6189,0.0007232500317864028
710,79554.31112,2.52,1.41543,28.61342,18.10116,0.0005942639425299893
710,60891.51065,2.12,1.30828,29.82423,19.16896,0.000814732672551082
710,62199.91381,2.28,1.37292,29.63534,20.56131,0.0008167022232524351
710,68852.91121,2.29,1.04278,29.87527,20.49582,0.0007381888659783052
710,68976.88442,2.51,1.3419,27.14129,21.54391,0.0007135697984595086
710,42743.61518,2.62,0.84762,27.82791,17.26898,0.0010626244151950431
710,0.0,0.0,0.0,0.0,0.0,
710,117446.4263,2.48,1.3065,26.45748,17.27533,0.00037684947861311833
710,59066.24794,2.2,0.82943,24.94996,17.00436,0.0007166755145741467
710,25598.19549,3.69,1.05964,24.33751,19.12055,0.0017089183231193898
710,54857.74545,3.86,1.63576,26.99942,20.37865,0.0008713781732844689
710,54841.11517,2.23,0.99334,24.39194,17.65878,0.0007748960577197602
710,85687.65126,2.03,1.22835,22.66913,18.40448,0.000486402741927221
710,91211.65851,1.16,0.16786,45.63776,18.31623,0.0007027467534703831
710,45836.18513,4.51,1.37971,19.96883,21.19308,0.0009046964156608574
710,88978.92323,1.61,1.21834,26.77236,15.51279,0.00048373121809977944
710,51959.15707,2.49,0.98866,28.70659,20.93399,0.000963018552079743
710,75963.68421,2.58,1.2718,30.67564,21.48125,0.0006930921832448878
710,38499.43491,2.9,0.68249,9.61328,14.14253,0.0006231559355454016
710,63299.74261,1.56,1.61,29.52172,22.51383,0.0008383541400635607
710,54400.80145,2.77,1.51844,29.0652,21.1832,0.0009337467818720631
710,82987.48186,3.11,0.73881,29.10698,18.56813,0.0005773481543440406
710,23302.11381,3.36,1.48538,27.90515,18.31988,0.002002698457378807
710,45705.77658,2.37,0.1725,14.14369,15.98527,0.0006607861646823501
710,63698.66487,4.43,1.55517,27.85546,21.79247,0.0007849298612162926
710,56725.98968,2.43,1.02449,26.09862,20.56622,0.0008300682119195645
710,108608.2565,2.51,1.31507,30.40784,16.06044,0.0004326762419845708
710,43348.65673,1.95,0.6867,23.16309,15.7285,0.0009053047269858008
710,128799.4179,1.5,1.3882,30.16545,19.63726,0.0003938540833006876
710,68313.41572,2.86,1.73823,29.47211,19.86674,0.0007311392967377261
710,80732.77771,2.21,1.3145,28.2515,18.05828,0.0005809855390901613
710,46654.05509,3.66,1.15183,27.97397,19.86479,0.001032138954639221
710,68674.73556,1.67,0.98901,25.57202,15.73265,0.0006100772171198475
710,46074.54827,2.7,1.48353,26.54768,20.02538,0.0010227450365745182
710,61097.93085,3.32,2.07809,29.6888,21.88176,0.0008543086483736719
710,68210.28526,1.89,0.82926,29.39319,20.20355,0.0007335477591691558
710,64534.0,3.34,0.525,10.6252,16.1359,0.0004171178855912002
710,49012.7896,3.2,1.50632,28.43146,21.63392,0.0010310799571383712
710,84274.69835,3.7,1.35387,26.47229,20.75001,0.0005646796932238538
710,73692.3272,2.13,1.62025,24.06887,16.66173,0.0005630339321292828
710,46967.07455,1.49,0.73314,26.1423,19.69988,0.000986525575893174
710,50226.15587,3.17,0.81403,27.50833,21.0734,0.0009723722819742696
710,59550.76087,2.54,1.85802,30.17812,23.02222,0.0009056449178666535
710,62825.56207,2.7,1.08666,25.91478,20.0062,0.000737334376969891
710,99732.64734,1.84,0.62334,28.43636,21.90006,0.0005081103639651008
710,0.0,0.0,0.0,0.0,0.0,
710,54676.08342,2.7,1.24579,28.38141,19.22942,0.000879218676554278
710,79258.07749,2.22,0.82192,33.21444,20.15848,0.000678077944055797
710,51406.11589,1.91,0.59563,23.32908,16.26746,0.0007763354121703372
710,25487.61102,1.86,1.07844,23.71765,16.00792,0.0015813712952534263
710,64614.97927,2.23,1.61055,25.7087,19.10632,0.000704747416859176
710,63795.72868,1.53,1.09094,26.82615,17.36684,0.0007039032801864777
710,46858.73246,1.62,0.97866,22.33972,18.65507,0.0008877513096757613
710,65614.93441,1.81,1.29827,25.03966,18.76341,0.0006785093461330784
710,0.0,0.0,0.0,0.0,0.0,
710,66936.20072,2.76,1.72081,28.71696,19.36428,0.0007276290162896174
710,32966.58587,4.66,1.511,28.62995,17.38095,0.0014055185790168275
710,52432.61388,1.17,0.69215,29.00403,21.63203,0.0009770186417526968
710,68637.32322,2.31,1.54522,22.76829,16.20619,0.0005775779786729045
710,87576.619,1.39,0.81827,25.37298,15.92544,0.00047829094033919494
710,64451.70461,1.68,0.9694,28.17458,20.95543,0.0007712291569370147
710,48720.12615,3.28,1.12852,24.32518,18.85274,0.0008933059992827987
710,34943.76452,3.09,1.42905,30.54415,18.42884,0.0014147149400534978
710,56172.35099,2.7,0.66963,28.56334,18.02765,0.0008338444143000097
710,37434.9563,3.37,2.38605,24.11506,18.29451,0.001151800375047625
710,31030.09976,3.47,1.10978,22.25271,16.69627,0.0012655067701802455
710,64534.0,3.58,1.69591,26.5124,17.54854,0.0006900960404917559
710,47712.16464,1.45,1.48936,28.01023,17.92186,0.0009842193323632488
710,30764.58674,2.69,1.08987,28.77006,18.20632,0.0015401323779923788
710,71080.66482,2.78,1.46614,27.7675,19.46823,0.0006719565526034514
710,55518.9162,1.95,1.31799,29.26773,21.43753,0.0009254710975012207
710,93206.20262,2.59,1.63025,24.42895,18.06241,0.00046263874015169224
710,95934.31901,2.03,1.14251,27.73379,16.81805,0.0004702660452843691
710,100361.9379,2.11,1.29924,30.44936,21.13146,0.0005200833567652978
710,42139.34397,4.01,1.25241,27.50369,21.53403,0.0011711155667466979
710,43394.39977,2.05,1.20854,26.86711,19.2599,0.0010765569279659393
710,37294.98617,2.97,0.7369,19.62111,17.60439,0.0010047896064983171
710,54015.22637,1.94,1.01505,26.90722,19.65322,0.0008716738744546807
710,105273.4957,2.36,1.75448,26.86039,19.88562,0.0004511053177539117
710,0.0,0.0,0.0,0.0,0.0,
710,66403.80041,4.68,1.77793,31.00442,22.63878,0.0008135543333226757
710,27201.51786,3.01,0.38054,20.95315,14.02297,0.0012904627392425019
710,48355.51846,3.6,1.30514,26.39574,19.34043,0.0009533288103822534
710,105272.8571,1.63,1.20156,26.46613,19.96067,0.0004480162757379284
710,56647.03203,2.29,1.39444,28.81592,21.04209,0.000890901675792389
710,35971.89194,2.73,1.0929,28.15553,17.23913,0.001273077038781121
710,40921.31619,2.27,0.74806,25.3025,16.9151,0.0010397305319474932
710,54501.75145,1.82,0.71492,24.30061,16.48642,0.000755569171471336
710,68292.29653,3.53,1.51965,29.06384,20.3375,0.0007296845805854204
710,46378.26486,3.78,1.2189,25.9806,18.48289,0.0009656667935433477
710,64534.0,3.38,1.27615,24.63023,19.60256,0.0006912689306659689
710,41986.77321,3.37,0.95592,27.10002,19.63664,0.0011198840061172242
710,44039.13858,2.45,1.05577,28.84577,18.34905,0.0010814413738837543
710,84047.13546,1.85,1.02286,28.61075,20.5925,0.0005920028924837946
710,53802.6063,2.93,1.07128,26.0234,18.35664,0.0008316635131740604
710,31916.01677,1.19,0.49072,24.84508,16.5083,0.0013086141058541363
710,65682.50618,3.24,1.3914,28.20519,20.40598,0.000746631291900629
710,126176.3244,2.1,1.32765,31.67896,21.28758,0.0004247924841731582
710,70037.15171,2.38,1.1709,23.82172,16.75842,0.0005864332541674682
710,126184.1613,2.79,1.37562,35.41733,22.07426,0.00045952394631829964
710,79522.18302,2.72,1.48585,27.06694,21.86749,0.0006222251012639887
710,54529.02007,2.7,1.25701,29.19859,19.21083,0.000896311343877397
710,50250.93289,4.09,1.67556,26.8341,19.87007,0.0009375714969266543
710,61325.05411,2.8,1.44374,27.19221,19.76347,0.0007740931030149797
710,52621.27212,2.57,1.02245,28.07822,17.73858,0.000878250156353804
710,67340.76097,3.55,1.18987,28.73796,21.99589,0.0007583672045321605
710,50781.8146,1.91,1.00839,30.54061,21.37831,0.001032788475415787
710,52958.00318,5.1,1.00729,27.72791,18.49612,0.0008765726624048526
710,112185.7368,2.57,1.25257,34.29757,22.57331,0.0005112794456679737
710,93119.20116,2.46,1.18106,24.58319,18.25043,0.00046514279709760465
710,60447.63807,2.42,1.04781,23.67276,19.5022,0.0007214167621958
